ar,ma,garch.p,garch.q,AIC,BIC
2,4,2,1,-3.8336539198998,-3.7944093399227
3,0,2,2,-3.82751976291416,-3.79431281062585
0,3,2,2,-3.8274876058589,-3.79428065357058
1,3,2,4,-3.8364637574406,-3.7942003636191
0,1,2,4,-3.82738873485378,-3.79418178256546
3,1,2,4,-3.83642688084777,-3.79416348702627
2,1,3,3,-3.83634127289695,-3.79407787907545
4,0,2,1,-3.82724159048314,-3.79403463819482
0,4,2,1,-3.82722081731315,-3.79401386502483
1,0,3,2,-3.82719007359956,-3.79398312131124
3,2,2,3,-3.83612743982412,-3.79386404600263
2,3,2,3,-3.83610642195468,-3.79384302813318
0,2,2,3,-3.82703199484319,-3.79382504255487
3,0,1,4,-3.82701654085315,-3.79380958856483
3,4,1,4,-3.83906146075576,-3.79377925308987
0,3,1,4,-3.82698322977748,-3.79377627748916
0,1,3,2,-3.82695963319531,-3.79375268090699
2,0,2,3,-3.82690802394545,-3.79370107165713
1,2,3,3,-3.83587334078651,-3.79360994696501
2,3,3,1,-3.83584705762028,-3.79358366379878
2,2,3,2,-3.83584401822175,-3.79358062440025
1,3,3,2,-3.83560286669617,-3.79333947287467
3,2,3,1,-3.83560243180624,-3.79333903798474
3,1,3,2,-3.83557049317904,-3.79330709935754
1,1,2,3,-3.82637400196665,-3.79316704967833
1,4,3,1,-3.83540459698016,-3.79314120315867
1,4,2,3,-3.83531606105687,-3.79305266723537
4,4,1,2,-3.83521678098025,-3.79295338715876
4,1,3,1,-3.83518469625894,-3.79292130243744
3,3,2,2,-3.83510651570343,-3.79284312188193
4,1,2,3,-3.83509335326643,-3.79282995944493
3,3,1,4,-3.83493706025919,-3.79267366643769
0,0,4,1,-3.82581965462419,-3.79261270233587
2,4,1,3,-3.83168435726712,-3.79243977729001
0,0,3,3,-3.82563265488946,-3.79242570260114
4,0,1,3,-3.82562485229016,-3.79241790000184
2,4,1,2,-3.82862547768851,-3.7923997115558
0,4,1,3,-3.82559343724625,-3.79238648495793
4,2,1,4,-3.8346311284964,-3.79236773467491
4,2,2,2,-3.83444646333121,-3.79218306950971
0,2,2,4,-3.82825740805034,-3.79203164191762
2,2,4,1,-3.83724881819079,-3.7919666105249
2,0,2,4,-3.82814883432816,-3.79192306819545
2,1,4,2,-3.8370643606595,-3.79178215299361
1,3,4,1,-3.83703297486785,-3.79175076720196
3,0,3,1,-3.82794762930902,-3.79172186317631
3,1,4,1,-3.83697590082142,-3.79169369315553
0,3,3,1,-3.82791062867081,-3.79168486253809
0,2,3,2,-3.82782144561282,-3.79159567948011
1,0,4,1,-3.82781722328211,-3.7915914571494
2,0,3,2,-3.82772658702252,-3.79150082088981
4,3,1,4,-3.83675253978578,-3.79147033211989
0,1,4,1,-3.8275732175602,-3.79134745142748
4,3,2,2,-3.83659498009922,-3.79131277243333
1,2,4,2,-3.83657174434712,-3.79128953668123
1,1,2,4,-3.82747859073124,-3.79125282459853
3,4,2,2,-3.83647184541126,-3.79118963774537
4,4,2,1,-3.83640579331611,-3.79112358565022
1,1,3,2,-3.82708552191888,-3.79085975578617
4,3,3,1,-3.83907325432966,-3.79077223281938
2,1,3,4,-3.83588805935811,-3.79060585169222
3,4,3,1,-3.83885507933786,-3.79055405782758
3,4,2,3,-3.83881497140669,-3.7905139498964
2,3,2,4,-3.83566111803351,-3.79037891036762
3,2,2,4,-3.83558603808571,-3.79030383041982
1,2,3,4,-3.83544480874518,-3.79016260107929
1,4,2,4,-3.8354406897659,-3.79015848210001
4,4,1,3,-3.83534010886468,-3.79005790119879
1,3,3,3,-3.83527838956603,-3.78999618190014
3,1,3,3,-3.83527679635154,-3.78999458868565
3,0,2,3,-3.82620615728465,-3.78998039115194
0,3,2,3,-3.82617127631572,-3.789945510183
4,1,2,4,-3.83521045374209,-3.7899282460762
4,0,2,2,-3.82614752665515,-3.78992176052243
0,4,2,2,-3.82612686752391,-3.7899011013912
2,4,1,4,-3.83210368924743,-3.78984029542594
4,0,1,4,-3.82595580394292,-3.78973003781021
0,4,1,4,-3.82592167735665,-3.78969591122393
3,3,2,3,-3.83486848695316,-3.78958627928727
3,3,3,1,-3.83477141887213,-3.78948921120624
0,2,4,1,-3.82868077783238,-3.78943619785527
3,2,3,2,-3.83467392116901,-3.78939171350312
1,0,3,3,-3.82560744280411,-3.7893816766714
2,3,3,2,-3.83459389512389,-3.789311687458
2,0,4,1,-3.82853695504159,-3.78929237506448
0,1,3,3,-3.82536194374357,-3.78913617761086
1,4,3,2,-3.8343330155746,-3.78905080790871
4,2,2,3,-3.8342754139176,-3.78899320625171
4,2,3,1,-3.83422821531053,-3.78894600764464
4,1,3,2,-3.83411302594773,-3.78883081828184
0,0,4,2,-3.82472498860989,-3.78849922247718
1,1,4,1,-3.82772860682087,-3.78848402684376
3,0,2,4,-3.82735361121865,-3.78810903124154
0,3,2,4,-3.82732271972306,-3.78807813974595
2,1,4,3,-3.8361693008415,-3.78786827933121
2,2,4,2,-3.836159174305,-3.78785815279472
4,3,2,4,-3.8390827973084,-3.78776296195373
0,0,3,4,-3.82396224053688,-3.78773647440416
3,2,4,1,-3.83601897877553,-3.78771795726524
1,4,4,1,-3.8359665664203,-3.78766554491002
1,3,4,2,-3.83594362543753,-3.78764260392724
3,0,3,2,-3.82687952094027,-3.78763494096317
2,3,4,1,-3.83590836563169,-3.78760734412141
0,3,3,2,-3.82684242587351,-3.78759784589641
3,4,2,4,-3.83891625580008,-3.78759642044541
3,1,4,2,-3.83588612434683,-3.78758510283655
4,3,2,3,-3.83583905376661,-3.78753803225633
1,0,4,2,-3.82672283279047,-3.78747825281337
4,4,1,4,-3.83577494123262,-3.78747391972233
4,1,4,1,-3.83573945934488,-3.78743843783459
4,0,3,1,-3.82662084030737,-3.78737626033027
1,2,4,3,-3.8356759640792,-3.78737494256891
0,4,3,1,-3.82659316946956,-3.78734858949246
4,4,2,2,-3.83557828957591,-3.78727726806563
0,1,4,2,-3.82647869205205,-3.78723411207494
0,4,2,3,-3.8262753581043,-3.7870307781272
1,0,3,4,-3.82590373390667,-3.78665915392956
