ar,ma,garch.p,garch.q,AIC,BIC
1,2,4,4,-3.82153214233967,-3.78530637620696
4,3,2,3,-3.82445720124371,-3.78521262126661
1,0,4,3,-3.8123736961055,-3.78520437150597
2,0,3,3,-3.81233001890831,-3.78516069430877
4,0,1,3,-3.81232909344961,-3.78515976885007
3,4,3,1,-3.82137477422844,-3.78514900809573
3,4,1,4,-3.82437776220294,-3.78513318222584
0,4,1,3,-3.81223889077537,-3.78506956617584
4,4,2,1,-3.82123988172752,-3.78501411559481
0,1,4,3,-3.81215607590918,-3.78498675130964
0,0,3,4,-3.80906180855229,-3.78491129779715
2,4,3,4,-3.82714810807232,-3.78488471425082
0,2,2,4,-3.8120449103451,-3.78487558574557
3,0,3,2,-3.81199114438544,-3.78482181978591
0,3,3,2,-3.81194068216786,-3.78477135756832
2,0,2,4,-3.81188652159422,-3.78471719699469
3,2,3,3,-3.8208433066343,-3.78461754050158
3,3,4,1,-3.82080098139412,-3.78457521526141
2,4,4,1,-3.82077156720679,-3.78454580107408
4,3,3,2,-3.82369274613377,-3.78444816615667
1,1,3,3,-3.81160545448563,-3.7844361298861
4,0,2,2,-3.81155302742093,-3.7843837028214
0,4,2,2,-3.81146486949844,-3.78429554489891
4,2,4,1,-3.82050477858714,-3.78427901245443
4,0,3,1,-3.81141233161782,-3.78424300701828
3,2,2,4,-3.82041538939671,-3.784189623264
0,4,3,1,-3.8113295567904,-3.78416023219086
4,3,3,1,-3.8203660862725,-3.78414032013979
1,3,3,4,-3.82029019473714,-3.78406442860443
2,3,2,4,-3.82028184750767,-3.78405608137496
3,3,2,3,-3.82021611633038,-3.78399035019767
3,1,3,4,-3.82021350136148,-3.78398773522876
2,2,3,4,-3.8202118921775,-3.78398612604479
1,1,2,4,-3.81115317475339,-3.78398385015386
1,4,3,3,-3.82016898372568,-3.78394321759297
3,3,1,4,-3.82016159795409,-3.78393583182138
1,4,2,4,-3.82005082852294,-3.78382506239022
4,4,3,1,-3.82304254822205,-3.78379796824495
4,1,3,3,-3.81998243302071,-3.783756666888
4,2,1,4,-3.81992380107712,-3.78369803494441
3,0,4,2,-3.81383135867159,-3.78364322022766
4,1,2,4,-3.8198634851262,-3.78363771899349
0,3,4,2,-3.81377018855973,-3.7835820501158
1,0,3,4,-3.81051594762383,-3.7833466230243
4,2,2,3,-3.81955642499614,-3.78333065886343
3,3,3,2,-3.81950233557836,-3.78327656944565
0,1,3,4,-3.81032442168575,-3.78315509708622
0,2,4,3,-3.8132972650022,-3.78310912655827
2,0,4,3,-3.81309509771924,-3.78290695927531
4,3,4,2,-3.82516688301157,-3.78290348919008
4,0,4,1,-3.81304945708641,-3.78286131864248
0,4,4,1,-3.81296790355712,-3.78277976511319
0,0,4,4,-3.80986526382781,-3.78269593922828
4,2,3,2,-3.81889910678048,-3.78267334064777
2,4,4,4,-3.82791796638474,-3.78263575871886
3,4,4,2,-3.82475007430032,-3.78248668047883
4,3,4,1,-3.82154967878651,-3.7823050988094
4,4,1,3,-3.82127210005182,-3.78202752007472
1,1,4,3,-3.81215556960303,-3.7819674311591
3,4,2,3,-3.82119189673149,-3.78194731675438
2,2,4,4,-3.82116797827953,-3.78192339830243
3,0,3,3,-3.81205045030268,-3.78186231185876
2,3,4,3,-3.82109132982487,-3.78184674984776
0,3,3,3,-3.81200791866349,-3.78181978021956
3,2,4,3,-3.82106059503724,-3.78181601506014
1,3,4,4,-3.82105597353307,-3.78181139355596
3,1,4,4,-3.82096035416044,-3.78171577418333
3,3,4,2,-3.82084582098224,-3.78160124100513
1,4,4,3,-3.82084196586563,-3.78159738588853
4,4,2,2,-3.82072862506221,-3.78148404508511
4,0,1,4,-3.81158704930142,-3.78139891085749
4,1,4,3,-3.82064013100035,-3.78139555102324
3,4,3,2,-3.82061600608766,-3.78137142611055
3,0,2,4,-3.81151374640579,-3.78132560796186
4,2,4,2,-3.82056740263073,-3.78132282265363
0,4,1,4,-3.81149956355144,-3.78131142510751
0,3,2,4,-3.81146519426468,-3.78127705582075
1,0,4,4,-3.81145650087819,-3.78126836243427
3,4,3,3,-3.82342956605243,-3.78116617223093
0,2,3,4,-3.81133789160406,-3.78114975316013
4,0,2,3,-3.81124817269796,-3.78106003425403
0,1,4,4,-3.81123348798465,-3.78104534954072
3,4,2,4,-3.82329554989742,-3.78103215607592
0,4,2,3,-3.81115804726169,-3.78096990881776
2,0,3,4,-3.81082829062281,-3.78064015217889
4,0,3,2,-3.81061299921707,-3.78042486077314
0,4,3,2,-3.81052575757568,-3.78033761913176
3,3,3,3,-3.81957039606904,-3.78032581609194
2,3,3,4,-3.81933993212007,-3.78009535214296
1,1,3,4,-3.81009457141569,-3.77990643297176
3,3,2,4,-3.81907017037434,-3.77982559039723
4,2,3,3,-3.81896960869021,-3.77972502871311
1,4,3,4,-3.81895991136421,-3.77971533138711
4,1,3,4,-3.81890092942181,-3.7796563494447
3,0,4,3,-3.81284424186575,-3.77963728957743
4,2,2,4,-3.81883391244121,-3.77958933246411
0,3,4,3,-3.81278285434986,-3.77957590206154
4,0,4,2,-3.81277450430578,-3.77956755201746
0,4,4,2,-3.8126864883949,-3.77947953610658
4,4,4,1,-3.82146466805316,-3.77920127423166
0,2,4,4,-3.81239034831019,-3.77918339602188
2,0,4,4,-3.81219174484153,-3.77898479255321
4,3,4,3,-3.82423783431552,-3.77895562664963
3,4,4,3,-3.8238394607659,-3.77855725310001
4,4,1,4,-3.82071283626696,-3.77844944244546
4,3,3,3,-3.82063894098353,-3.77837554716204
4,3,2,4,-3.82061598527999,-3.7783525914585
4,4,3,4,-3.82647930554387,-3.77817828403358
1,1,4,4,-3.81126276242199,-3.77805581013367
3,2,4,4,-3.8201848219435,-3.777921428122
2,4,4,3,-3.82016305613801,-3.77789966231651
2,3,4,4,-3.82009991059613,-3.77783651677464
3,0,3,4,-3.81096546777232,-3.777758515484
0,3,3,4,-3.81092445076406,-3.77771749847575
